Question ID,Question,Correct Answer,Required Keywords,Outdated Keywords,Category,Supporting Current Event,Conflicting Old Event
Q18,"Which canceled feature was partly revived under a new name, and is it in the current MVP?","The Live Help offline fallback was partly revived as the Help Center prompt fallback, but it is not in the current MVP.","Live Help offline fallback;Help Center prompt fallback;not|outside|future backlog;current MVP|future backlog",planned,Update and forget,E087,E045
Q19,How should the two similarly named browser tasks be distinguished?,"Browser smoke tests are the completed end-to-end suite; browser smoke test fixtures are a separate active fixture-only task.","Browser smoke tests|end-to-end smoke tests;completed|complete;browser smoke test fixtures;fixture-only|fixture","",Similar task names,"E020; E088","E002; E017"
Q20,"What are the successive deadline changes for legacy accessibility cleanup and its current target?","The target moved from July 15 to July 18, then to July 19, 2026.","July 15;July 18;July 19","",Deadline history,"E089; E090","E083; E086"
Q21,Which requirement was removed from the MVP but retained in the future backlog?,"The Live Help offline fallback was removed from the MVP but retained in the future backlog.","Live Help offline fallback;removed|canceled;future backlog|future-backlog",planned,Requirement change,E045,E005
Q22,What old browser-owner fact must be ignored in the current answer?,"Ignore Ishaan's old browser smoke-test assignment and use Shaurya as the current owner.","Ishaan;old|outdated|ignore;Shaurya","",Outdated information,E020,E002
Q23,Which events changed keyboard-only coverage from a release requirement into the current blocker?,"E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.","E081;E086","",State transition,"E081; E086",E083
Q24,Which terminal draft-recovery facts should be used and which old fact should be ignored?,"Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.","visible recovered|recovered state;discard;challenge-scoped;ignore|not use;silent-only|silent restore","",Current requirement,"E047; E050",E021
Q25,Which canceled features should not be included in the current MVP?,"Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.","Standalone terminal demo;Live Help offline fallback;guided paths desktop mockup|desktop-only guided-path mockup","",Canceled information,"E035; E045; E059","E007; E005; E053"
Q26,What current browser-testing decision replaces the earlier technical decision?,"Use Playwright and ignore the earlier Cypress decision.","Playwright;ignore|replace|supersed;Cypress","",Technical decision,E014,E003
Q27,Which older release deadline would be wrong if the AI relied only on early notes?,"July 13 is outdated; the current MVP release target is July 17, 2026.","July 13;outdated|wrong|ignore|current;July 17","",Outdated information,E085,E009
Q28,What current facts define guided learning paths after the ownership and navigation changes?,"Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.","Aryan Raj;completed;mobile-first;manual|course links","Ashwin|hidden|blocked",Multi-event reasoning,"E061; E076","E052; E070"
Q29,Which temporary or expired project information should be ignored?,"The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.","draft demo checklist|demo checklist;expired sprint review|sprint review meeting|sprint-review;ignore|irrelevant","",Forget information,"E006; E030","E006; E030"
Q30,What facts define current release risk at the end of Day 30?,"The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.","MVP release|MVP|release;July 17;legacy accessibility cleanup|accessibility cleanup;keyboard-only;delayed|delaying","July 13|July 15|resolved",Current release risk,"E085; E086; E090","E009; E083; E089"
