Event ID,Day,Date,Update Type,Task,Owner,Status,Blocker,Requirement Change,Memory Action,Validity,Replaces Event,GitHub Evidence,Note
E011,Day 4,6/17/2026,Requirement Change,Browser smoke tests,Ishaan,Blocked,,Tests must run against a local static server and synthetic data only.,Remember,Current,,Issue #145 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/145,The smoke suite is constrained to deterministic local data and no live services.
E012,Day 4,6/17/2026,Task Created,Local learner progress,Advay,Planned,,Store non-sensitive progress locally without requiring sign-in.,Remember,Outdated,,Issue #137 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/137,A no-sign-in progress panel is added to the fictional MVP.
E013,Day 5,6/18/2026,Owner Reassignment,Browser smoke tests,Shaurya,Blocked,Browser dependency remains unavailable in CI.,,Update,Outdated,E008,Synthesized from surrounding repository activity,Smoke-test ownership moves from Ishaan to Shaurya while the installation blocker remains.
E014,Day 5,6/18/2026,Decision,Browser test framework,Shaurya,Active,,Replace Cypress with the already-installed Playwright stack.,Update,Current,E003,PR #148 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/148,Playwright replaces Cypress to reuse the repository's working test path.
E015,Day 5,6/18/2026,Bug,Terminal draft recovery,Aditya,Blocked,Saved work leaks between challenge identifiers.,,Update,Outdated,E010,PR #147 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/147,The recovery task is blocked until storage keys are challenge-scoped.
E016,Day 6,6/19/2026,Pull Request,Experimental recovery branch,Aditya,Under Review,,,Remember,Irrelevant,,Synthesized from surrounding repository activity,A temporary recovery experiment is opened for review.
E017,Day 6,6/19/2026,Blocker Resolved,Browser smoke tests,Shaurya,Active,,Pinning the existing browser package removes the install hang.,Update,Outdated,E013,Commit ac92e90 | https://github.com/Cyber-Minds/cyber-minds.github.io/commit/ac92e90,The CI installation blocker is resolved without adding a second browser stack.
E018,Day 6,6/19/2026,Task Created,Shared quiz engine,Dhruv,Planned,,Initially migrate every quiz page to one scoring engine.,Remember,Outdated,,Issue #138 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/138,A shared quiz engine is planned to replace duplicated scoring logic.
E019,Day 7,6/20/2026,Feature Removed,Experimental recovery branch,Aditya,Canceled,,The experiment is closed after its useful changes move into the main recovery work.,Forget,Irrelevant,E016,Synthesized from surrounding repository activity,The temporary branch is abandoned and must not be treated as an active delivery path.
E020,Day 7,6/20/2026,Pull Request,Browser smoke tests,Shaurya,Completed,,,Update,Current,E017,PR #148 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/148,The smoke suite merges after local and CI verification.
E021,Day 7,6/20/2026,Requirement Change,Terminal draft recovery,Aditya,Active,,Replace the visible recovery banner with silent automatic restore.,Update,Outdated,E004,PR #154 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/154,The recovery UX changes to silent restore with no browse or discard controls.
E022,Day 8,6/21/2026,Blocker Resolved,Terminal draft recovery,Aditya,Active,,Challenge-scoped keys eliminate cross-challenge draft leakage.,Update,Outdated,E015,Commit 05cd4c4 | https://github.com/Cyber-Minds/cyber-minds.github.io/commit/05cd4c4,The storage-key bug is fixed and recovery work resumes.
E023,Day 8,6/21/2026,Status Update,Local learner progress,Advay,Active,,,Update,Outdated,E012,Issue #137 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/137,"Implementation begins for browser-local course, quiz, and challenge progress."
E024,Day 8,6/21/2026,Status Update,Shared quiz engine,Dhruv,Active,,,Update,Outdated,E018,Issue #138 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/138,The shared scoring and explanation engine moves into active development.
E025,Day 9,6/22/2026,Decision,Cloud terminal deployment,Tavish,Planned,,Use an OCI free-tier VM as the primary production deployment.,Remember,Irrelevant,,PR #152 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/152,OCI is selected as the first deployment path.
E026,Day 9,6/22/2026,Owner Reassignment,Local learner progress,Aarohi,Active,,,Update,Outdated,E023,Synthesized from surrounding repository activity,Progress ownership moves from Advay to Aarohi to align implementation and catalog documentation.
E027,Day 9,6/22/2026,Requirement Change,Shared quiz engine,Dhruv,Active,,Reduce the first rollout from every quiz to two representative course quizzes.,Update,Outdated,E024,PR #150 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/150,The migration is narrowed to two quizzes so the reusable contract can be validated first.
E028,Day 10,6/23/2026,Temporary Information,Sprint review meeting,Team,Planned,,,Forget,Irrelevant,,Synthesized from surrounding repository activity,A temporary review time is recorded for Day 10 only.
E029,Day 10,6/23/2026,Blocker,Live Help offline fallback,Sukriti,Blocked,The embedded chat does not expose a reliable failure signal.,,Update,Outdated,E005,Issue #142 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/142,The fallback cannot reliably detect iframe failure and is blocked.
E030,Day 10,6/23/2026,Temporary Information,Sprint review meeting,Team,Completed,,The meeting time has passed and should be removed from active memory.,Forget,Irrelevant,E028,Synthesized from surrounding repository activity,The expired meeting detail remains in history but is irrelevant to current project state.
E031,Day 11,6/24/2026,Status Update,Local learner progress,Aarohi,Completed,,,Update,Current,E026,PR #150 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/150,"Local progress, safe resume links, and reset behavior are completed."
E032,Day 11,6/24/2026,Status Update,Shared quiz engine,Dhruv,Completed,,The two-page migration is the accepted first release scope.,Update,Current,E027,PR #150 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/150,"The shared engine ships with explanations, retries, and two migrated quizzes."
E033,Day 11,6/24/2026,Bug,Root deployment routing,Ishaan,Blocked,Resume links break when the site is hosted at the domain root.,,Remember,Outdated,,PR #151 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/151,The progress feature reveals a base-path routing bug in production.
E034,Day 12,6/25/2026,Decision,Cloud terminal deployment,Tavish,Active,,Replace OCI as primary with an Azure VM; retain only generic operational lessons.,Update,Current,E025,PR #153 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/153,Azure becomes the primary deployment target and the OCI-first plan is abandoned.
E035,Day 12,6/25/2026,Feature Removed,Standalone terminal demo mode,Rohan,Canceled,,Remove the standalone launcher because existing mock mode covers the need.,Forget,Irrelevant,E007,Issue #145 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/145,The duplicate demo feature is removed from the MVP.
E036,Day 12,6/25/2026,Deployment,Cloud terminal deployment,Tavish,Blocked,The health check fails after provisioning.,,Remember,Outdated,,Synthesized from surrounding repository activity,The first Azure deployment cannot pass its health check.
E037,Day 13,6/26/2026,Temporary Information,Progress test fixtures,Ethan,Active,,,Forget,Irrelevant,,Synthesized from surrounding repository activity,Synthetic progress records are loaded for browser testing only.
E038,Day 13,6/26/2026,Blocker Resolved,Root deployment routing,Ishaan,Completed,,Root and subpath URL handling now use one safe resolver.,Update,Current,E033,PR #151 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/151,The production routing bug is fixed and covered by smoke tests.
E039,Day 13,6/26/2026,Documentation,Quiz engine contract,Naysa,Completed,,,Remember,Current,,docs/QUIZ_ENGINE.md in PR #150 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/150,The reusable quiz markup and configuration contract is documented.
E040,Day 14,6/27/2026,Blocker Resolved,Cloud terminal deployment,Tavish,Completed,,The corrected environment and health check pass.,Update,Current,E036,PR #153 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/153,The primary terminal deployment is verified and the health-check blocker is closed.
E041,Day 14,6/27/2026,Task Created,Privacy-safe learning analytics,Ishaan,Planned,,"Add quiz, progress, and Live Help events using allowlisted identifiers only.",Remember,Outdated,,Issue #144 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/144,A privacy-safe funnel analytics expansion enters the plan.
E042,Day 14,6/27/2026,Testing,Progress test fixtures,Ethan,Completed,,Temporary browser records are deleted after verification.,Forget,Irrelevant,E037,Synthesized from surrounding repository activity,The synthetic fixture data is no longer relevant after tests finish.
E043,Day 15,6/28/2026,Duplicate Information,Analytics follow-up issue,Unassigned,Planned,,,Forget,Irrelevant,,Synthesized from surrounding repository activity,A duplicate analytics task is filed with the same scope as the active work.
E044,Day 15,6/28/2026,Blocker,Privacy-safe learning analytics,Ishaan,Blocked,The draft schema permits a free-text field.,,Update,Outdated,E041,Issue #144 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/144,Analytics work stops until payloads are restricted to safe primitive identifiers.
E045,Day 15,6/28/2026,Feature Removed,Live Help offline fallback,Sukriti,Canceled,The iframe limitation remains.,Remove the Live Help fallback from this MVP and keep it in the future backlog.,Forget,Irrelevant,E029,Synthesized from surrounding repository activity,The blocked fallback is removed from the current release scope.
E046,Day 16,6/29/2026,Duplicate Information,Analytics follow-up issue,Unassigned,Canceled,,The duplicate is closed in favor of the original analytics task.,Forget,Irrelevant,E043,Synthesized from surrounding repository activity,The duplicate issue is closed and should never appear as a second active task.
E047,Day 16,6/29/2026,Requirement Change,Terminal draft recovery,Aditya,Active,,Restore a visible recovered state and confirmed discard control after learner feedback.,Update,Current,E021,PR #157 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/157,Silent-only recovery is replaced by explicit controls with safer challenge scoping.
E048,Day 16,6/29/2026,Owner Reassignment,Privacy-safe learning analytics,Dhruv,Active,,Dhruv owns implementation after the allowlist schema is approved.,Update,Outdated,E044,Synthesized from surrounding repository activity,Analytics ownership transfers from Ishaan to Dhruv and work resumes.
E049,Day 17,6/30/2026,Code Review,Privacy-safe learning analytics,Dhruv,Under Review,Legacy quiz pages do not emit completion events.,,Update,Outdated,E048,PR #156 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/156,Review finds that the new event hooks miss legacy quiz flows.
E050,Day 17,6/30/2026,Status Update,Terminal draft recovery,Aditya,Completed,,,Update,Current,E022,PR #157 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/157,"Draft persistence, recovery controls, and regression tests are complete."
E051,Day 17,6/30/2026,Bug,Privacy-safe learning analytics,Dhruv,Blocked,Legacy quizzes bypass the shared event hook.,,Update,Outdated,E049,PR #156 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/156,Analytics is blocked until legacy completion is captured safely.
E052,Day 18,7/1/2026,Task Created,Guided learning paths,Ashwin,Planned,,Group existing courses into beginner-friendly paths without hiding the full catalog.,Remember,Outdated,,Issue #139 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/139,Guided paths are added to the release plan.
E053,Day 18,7/1/2026,Temporary Information,Guided paths desktop mockup,Ashwin,Active,,,Forget,Irrelevant,,Synthesized from surrounding repository activity,A desktop-only mockup is circulated for review.
E054,Day 18,7/1/2026,Task Created,Static HTML QA gate,Aditya,Planned,,"Check changed HTML for links, alt text, titles, and footer regressions.",Remember,Outdated,,Issue #143 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/143,A deterministic changed-file quality gate is proposed.
E055,Day 19,7/2/2026,Blocker Resolved,Privacy-safe learning analytics,Dhruv,Completed,,A compatibility hook covers legacy quizzes without collecting answers.,Update,Current,E051,Commit cbe5f87 | https://github.com/Cyber-Minds/cyber-minds.github.io/commit/cbe5f87,Legacy funnel coverage is added and analytics work is completed.
E056,Day 19,7/2/2026,Deployment,Privacy-safe learning analytics,Team,Completed,,,Remember,Current,,GitHub Pages deployment after PR #156 | https://github.com/Cyber-Minds/cyber-minds.github.io/deployments,The analytics update is deployed through the existing GitHub Pages path.
E057,Day 19,7/2/2026,Task Assignment,Static HTML QA gate,Aditya,Active,,,Update,Outdated,E054,PR #161 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/161,"Aditya begins the QA script, tests, allowlist, and CI workflow."
E058,Day 20,7/3/2026,Documentation,Project README refresh,Aarohi,Active,,"Add badges, multiple screenshots, and a detailed contributor guide.",Remember,Outdated,,README history | https://github.com/Cyber-Minds/cyber-minds.github.io/commits/main/README.md,The initial README refresh favors a large presentation-heavy document.
E059,Day 20,7/3/2026,Feature Removed,Guided paths desktop mockup,Ashwin,Canceled,The layout fails at mobile width.,Reject the desktop-only card arrangement.,Forget,Irrelevant,E053,Synthesized from surrounding repository activity,The old mockup is rejected and should not influence the current design.
E060,Day 20,7/3/2026,Blocker,Guided learning paths,Ashwin,Delayed,A mobile layout and preserved manual navigation are still undefined.,,Update,Outdated,E052,Issue #139 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/139,Guided paths are delayed until the responsive interaction is clarified.
E061,Day 21,7/4/2026,Decision,Guided paths layout,Ashwin,Active,,Use a mobile-first path section while keeping every existing course link available.,Update,Current,E059,Issue #139 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/139,A responsive layout replaces the rejected desktop mockup.
E062,Day 21,7/4/2026,Blocker,Static HTML QA gate,Aditya,Blocked,Legacy HTML debt produces too many unrelated failures.,,Update,Outdated,E057,Issue #167 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/167,The first full-repository checker is too noisy to merge.
E063,Day 21,7/4/2026,Requirement Change,Project README refresh,Aarohi,Active,,Replace the long badge-heavy draft with an essentials-only walkthrough and diagrams.,Update,Outdated,E058,README commits on 2026-07-06 | https://github.com/Cyber-Minds/cyber-minds.github.io/commits/main/README.md,The README requirement changes from exhaustive promotion to concise onboarding.
E064,Day 22,7/5/2026,Testing,Static HTML QA gate,Aditya,Blocked,Commented-out markup triggers false missing-alt and broken-link findings.,,Update,Outdated,E062,PR #162 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/162,Testing isolates HTML comments as a second source of false positives.
E065,Day 22,7/5/2026,Owner Reassignment,Guided learning paths,Aryan Raj,Active,,Aryan Raj takes implementation after the mobile layout is approved.,Update,Outdated,E060,Synthesized from surrounding repository activity,Ownership moves from Ashwin to Aryan Raj and the delay ends.
E066,Day 22,7/5/2026,Requirement Change,Static HTML QA gate,Aditya,Active,,Run the gate on changed HTML only and document a small explicit allowlist.,Update,Outdated,E064,PR #161 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/161,The QA scope changes from whole-repository enforcement to changed-file protection.
E067,Day 23,7/6/2026,Documentation,Project README refresh,Aarohi,Completed,,,Update,Current,E063,Commit 8632931 | https://github.com/Cyber-Minds/cyber-minds.github.io/commit/8632931,"The concise README with diagrams, screenshots, and a short setup path is completed."
E068,Day 23,7/6/2026,Code Review,Guided learning paths,Aryan Raj,Under Review,The first patch replaces existing course-card navigation.,,Update,Outdated,E065,PR #160 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/160,Review finds a regression that hides manual course browsing.
E069,Day 23,7/6/2026,Pull Request,Static HTML QA gate,Aditya,Under Review,,,Update,Outdated,E066,PR #161 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/161,The changed-file QA gate enters review with tests and CI wiring.
E070,Day 24,7/7/2026,Bug,Guided learning paths,Aryan Raj,Blocked,Existing course links are no longer reachable from the catalog.,,Update,Outdated,E068,Commit 171dd39 | https://github.com/Cyber-Minds/cyber-minds.github.io/commit/171dd39,The guided-path patch is blocked by a navigation regression.
E071,Day 24,7/7/2026,Blocker,Static HTML QA gate,Aditya,Blocked,Commented placeholder markup still fails the changed-file gate.,,Update,Outdated,E069,PR #162 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/162,The smaller gate still needs comment stripping before it is reliable.
E072,Day 24,7/7/2026,Task Created,Legacy accessibility cleanup,Sukriti,Planned,,Remediate Courses 1-3 without adding broad exemptions.,Remember,Outdated,,Issue #167 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/167,A bounded accessibility cleanup is planned for the next release.
E073,Day 25,7/8/2026,Blocker Resolved,Guided learning paths,Aryan Raj,Active,,Course navigation is restored while path cards remain.,Update,Outdated,E070,Commit 171dd39 | https://github.com/Cyber-Minds/cyber-minds.github.io/commit/171dd39,The catalog regression is fixed and review resumes.
E074,Day 25,7/8/2026,Code Review,Guided learning paths,Aryan Raj,Under Review,,,Update,Outdated,E073,Review on PR #160 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/160,The repaired guided-path implementation receives final review.
E075,Day 25,7/8/2026,Requirement Change,Static HTML QA gate,Aditya,Active,,"Strip HTML comments before link, image, title, and footer checks.",Update,Outdated,E071,PR #162 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/162,The QA contract explicitly ignores inactive commented markup.
E076,Day 26,7/9/2026,Pull Request,Guided learning paths,Aryan Raj,Completed,,,Update,Current,E074,PR #160 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/160,Guided learning paths merge with manual navigation preserved.
E077,Day 26,7/9/2026,Testing,Static HTML QA gate,Ethan,Under Review,,Regression tests pass for active and commented markup.,Update,Outdated,E075,PR #162 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/162,Independent QA confirms comment stripping does not weaken active-markup checks.
E078,Day 26,7/9/2026,Pull Request,Static HTML QA gate,Aditya,Completed,,,Update,Current,E077,PR #162 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/162,The corrected changed-file QA gate merges with regression coverage.
E079,Day 27,7/10/2026,Owner Reassignment,Legacy accessibility cleanup,Sidhaanth,Active,,Sidhaanth takes the bounded Courses 1-3 cleanup.,Update,Outdated,E072,Synthesized from surrounding repository activity,Accessibility ownership moves from Sukriti to Sidhaanth.
E080,Day 27,7/10/2026,Bug,Legacy accessibility cleanup,Sidhaanth,Blocked,Several repaired image paths break adjacent course links.,,Update,Outdated,E079,Issue #167 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/167,The cleanup is blocked by path and navigation regressions.
E081,Day 28,7/11/2026,Requirement Change,MVP release,Shaurya,Active,,Release requires keyboard-only coverage for core catalog and terminal controls.,Remember,Current,,Issue #166 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/166,Keyboard coverage becomes a release requirement rather than a later enhancement.
E082,Day 28,7/11/2026,Documentation,Benchmark source audit,Naysa,Completed,,"Record verified issues, PRs, commits, branches, deployments, and unavailable project-board access.",Remember,Current,,Synthesized from surrounding repository activity,The research source audit is completed without private or sensitive information.
E083,Day 29,7/12/2026,Blocker Resolved,Legacy accessibility cleanup,Sidhaanth,Active,,Broken course paths are repaired and targeted page tests pass.,Update,Outdated,E080,Synthesized from surrounding repository activity,"The path regression is resolved, but release testing is not finished."
E084,Day 29,7/12/2026,Testing,Legacy accessibility cleanup,Ethan,Under Review,Keyboard-only coverage is incomplete.,,Update,Outdated,E083,Issue #166 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/166,Final QA finds the new release requirement is not yet satisfied.
E085,Day 30,7/13/2026,Deadline Change,MVP release,Team,Delayed,Keyboard coverage remains incomplete.,"Move the release target from July 13 to July 17, 2026.",Update,Current,E009,Synthesized from surrounding repository activity,The release slips four days rather than waiving the accessibility gate.
E086,Day 30,7/13/2026,Status Update,Legacy accessibility cleanup,Sidhaanth,Delayed,Keyboard-only smoke coverage is the only active blocker.,Courses 1-3 remain the cleanup boundary; no broad allowlist is permitted.,Update,Current,E084,Issues #166 and #167 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/166,Accessibility cleanup is delayed with one explicit active blocker at the end of Day 30.
