Memory Item,Category,Current Status,Original Information,Updated Information,Use or Ignore,Supporting Event IDs,Notes
Local learner progress,Outdated fact,Active,Event ID: E026; Owner: Aarohi; Status: Active; Note: Progress ownership moves from Advay to Aarohi to align implementation and catalog documentation.,Do not use as current state.,Ignore,E026,"Historical event marked outdated, canceled, or irrelevant."
Shared quiz engine,Outdated fact,Active,Event ID: E027; Owner: Dhruv; Status: Active; Requirement Change: Reduce the first rollout from every quiz to two representative course quizzes.; Note: The migration is narrowed to two quizzes so the reusable contract can be validated first.,Do not use as current state.,Ignore,E027,"Historical event marked outdated, canceled, or irrelevant."
Sprint review meeting,Canceled or irrelevant fact,Planned,Event ID: E028; Owner: Team; Status: Planned; Note: A temporary review time is recorded for Day 10 only.,Do not use as current state.,Ignore,E028,"Historical event marked outdated, canceled, or irrelevant."
Live Help offline fallback,Outdated fact,Blocked,Event ID: E029; Owner: Sukriti; Status: Blocked; Blocker: The embedded chat does not expose a reliable failure signal.; Note: The fallback cannot reliably detect iframe failure and is blocked.,Do not use as current state.,Ignore,E029,"Historical event marked outdated, canceled, or irrelevant."
Sprint review meeting,Canceled or irrelevant fact,Completed,Event ID: E030; Owner: Team; Status: Completed; Requirement Change: The meeting time has passed and should be removed from active memory.; Note: The expired meeting detail remains in history but is irrelevant to current project state.,Do not use as current state.,Ignore,E030,"Historical event marked outdated, canceled, or irrelevant."
Root deployment routing,Outdated fact,Blocked,Event ID: E033; Owner: Ishaan; Status: Blocked; Blocker: Resume links break when the site is hosted at the domain root.; Note: The progress feature reveals a base-path routing bug in production.,Do not use as current state.,Ignore,E033,"Historical event marked outdated, canceled, or irrelevant."
Standalone terminal demo mode,Canceled or irrelevant fact,Canceled,Event ID: E035; Owner: Rohan; Status: Canceled; Requirement Change: Remove the standalone launcher because existing mock mode covers the need.; Note: The duplicate demo feature is removed from the MVP.,Do not use as current state.,Ignore,E035,"Historical event marked outdated, canceled, or irrelevant."
Cloud terminal deployment,Outdated fact,Blocked,Event ID: E036; Owner: Tavish; Status: Blocked; Blocker: The health check fails after provisioning.; Note: The first Azure deployment cannot pass its health check.,Do not use as current state.,Ignore,E036,"Historical event marked outdated, canceled, or irrelevant."
Progress test fixtures,Canceled or irrelevant fact,Active,Event ID: E037; Owner: Ethan; Status: Active; Note: Synthetic progress records are loaded for browser testing only.,Do not use as current state.,Ignore,E037,"Historical event marked outdated, canceled, or irrelevant."
Privacy-safe learning analytics,Outdated fact,Planned,"Event ID: E041; Owner: Ishaan; Status: Planned; Requirement Change: Add quiz, progress, and Live Help events using allowlisted identifiers only.; Note: A privacy-safe funnel analytics expansion enters the plan.",Do not use as current state.,Ignore,E041,"Historical event marked outdated, canceled, or irrelevant."
Progress test fixtures,Canceled or irrelevant fact,Completed,Event ID: E042; Owner: Ethan; Status: Completed; Requirement Change: Temporary browser records are deleted after verification.; Note: The synthetic fixture data is no longer relevant after tests finish.,Do not use as current state.,Ignore,E042,"Historical event marked outdated, canceled, or irrelevant."
Analytics follow-up issue,Canceled or irrelevant fact,Planned,Event ID: E043; Owner: Unassigned; Status: Planned; Note: A duplicate analytics task is filed with the same scope as the active work.,Do not use as current state.,Ignore,E043,"Historical event marked outdated, canceled, or irrelevant."
Privacy-safe learning analytics,Outdated fact,Blocked,Event ID: E044; Owner: Ishaan; Status: Blocked; Blocker: The draft schema permits a free-text field.; Note: Analytics work stops until payloads are restricted to safe primitive identifiers.,Do not use as current state.,Ignore,E044,"Historical event marked outdated, canceled, or irrelevant."
Live Help offline fallback,Canceled or irrelevant fact,Canceled,Event ID: E045; Owner: Sukriti; Status: Canceled; Blocker: The iframe limitation remains.; Requirement Change: Remove the Live Help fallback from this MVP and keep it in the future backlog.; Note: The blocked fallback is removed from the current release scope.,Do not use as current state.,Ignore,E045,"Historical event marked outdated, canceled, or irrelevant."
Analytics follow-up issue,Canceled or irrelevant fact,Canceled,Event ID: E046; Owner: Unassigned; Status: Canceled; Requirement Change: The duplicate is closed in favor of the original analytics task.; Note: The duplicate issue is closed and should never appear as a second active task.,Do not use as current state.,Ignore,E046,"Historical event marked outdated, canceled, or irrelevant."
Privacy-safe learning analytics,Outdated fact,Active,Event ID: E048; Owner: Dhruv; Status: Active; Requirement Change: Dhruv owns implementation after the allowlist schema is approved.; Note: Analytics ownership transfers from Ishaan to Dhruv and work resumes.,Do not use as current state.,Ignore,E048,"Historical event marked outdated, canceled, or irrelevant."
Privacy-safe learning analytics,Outdated fact,Under Review,Event ID: E049; Owner: Dhruv; Status: Under Review; Blocker: Legacy quiz pages do not emit completion events.; Note: Review finds that the new event hooks miss legacy quiz flows.,Do not use as current state.,Ignore,E049,"Historical event marked outdated, canceled, or irrelevant."
Privacy-safe learning analytics,Outdated fact,Blocked,Event ID: E051; Owner: Dhruv; Status: Blocked; Blocker: Legacy quizzes bypass the shared event hook.; Note: Analytics is blocked until legacy completion is captured safely.,Do not use as current state.,Ignore,E051,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Planned,Event ID: E052; Owner: Ashwin; Status: Planned; Requirement Change: Group existing courses into beginner-friendly paths without hiding the full catalog.; Note: Guided paths are added to the release plan.,Do not use as current state.,Ignore,E052,"Historical event marked outdated, canceled, or irrelevant."
Guided paths desktop mockup,Canceled or irrelevant fact,Active,Event ID: E053; Owner: Ashwin; Status: Active; Note: A desktop-only mockup is circulated for review.,Do not use as current state.,Ignore,E053,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Planned,"Event ID: E054; Owner: Aditya; Status: Planned; Requirement Change: Check changed HTML for links, alt text, titles, and footer regressions.; Note: A deterministic changed-file quality gate is proposed.",Do not use as current state.,Ignore,E054,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Active,"Event ID: E057; Owner: Aditya; Status: Active; Note: Aditya begins the QA script, tests, allowlist, and CI workflow.",Do not use as current state.,Ignore,E057,"Historical event marked outdated, canceled, or irrelevant."
Project README refresh,Outdated fact,Active,"Event ID: E058; Owner: Aarohi; Status: Active; Requirement Change: Add badges, multiple screenshots, and a detailed contributor guide.; Note: The initial README refresh favors a large presentation-heavy document.",Do not use as current state.,Ignore,E058,"Historical event marked outdated, canceled, or irrelevant."
Guided paths desktop mockup,Canceled or irrelevant fact,Canceled,Event ID: E059; Owner: Ashwin; Status: Canceled; Blocker: The layout fails at mobile width.; Requirement Change: Reject the desktop-only card arrangement.; Note: The old mockup is rejected and should not influence the current design.,Do not use as current state.,Ignore,E059,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Delayed,Event ID: E060; Owner: Ashwin; Status: Delayed; Blocker: A mobile layout and preserved manual navigation are still undefined.; Note: Guided paths are delayed until the responsive interaction is clarified.,Do not use as current state.,Ignore,E060,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Blocked,Event ID: E062; Owner: Aditya; Status: Blocked; Blocker: Legacy HTML debt produces too many unrelated failures.; Note: The first full-repository checker is too noisy to merge.,Do not use as current state.,Ignore,E062,"Historical event marked outdated, canceled, or irrelevant."
Project README refresh,Outdated fact,Active,Event ID: E063; Owner: Aarohi; Status: Active; Requirement Change: Replace the long badge-heavy draft with an essentials-only walkthrough and diagrams.; Note: The README requirement changes from exhaustive promotion to concise onboarding.,Do not use as current state.,Ignore,E063,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Blocked,Event ID: E064; Owner: Aditya; Status: Blocked; Blocker: Commented-out markup triggers false missing-alt and broken-link findings.; Note: Testing isolates HTML comments as a second source of false positives.,Do not use as current state.,Ignore,E064,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Active,Event ID: E065; Owner: Aryan Raj; Status: Active; Requirement Change: Aryan Raj takes implementation after the mobile layout is approved.; Note: Ownership moves from Ashwin to Aryan Raj and the delay ends.,Do not use as current state.,Ignore,E065,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Active,Event ID: E066; Owner: Aditya; Status: Active; Requirement Change: Run the gate on changed HTML only and document a small explicit allowlist.; Note: The QA scope changes from whole-repository enforcement to changed-file protection.,Do not use as current state.,Ignore,E066,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Under Review,Event ID: E068; Owner: Aryan Raj; Status: Under Review; Blocker: The first patch replaces existing course-card navigation.; Note: Review finds a regression that hides manual course browsing.,Do not use as current state.,Ignore,E068,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Under Review,Event ID: E069; Owner: Aditya; Status: Under Review; Note: The changed-file QA gate enters review with tests and CI wiring.,Do not use as current state.,Ignore,E069,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Blocked,Event ID: E070; Owner: Aryan Raj; Status: Blocked; Blocker: Existing course links are no longer reachable from the catalog.; Note: The guided-path patch is blocked by a navigation regression.,Do not use as current state.,Ignore,E070,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Blocked,Event ID: E071; Owner: Aditya; Status: Blocked; Blocker: Commented placeholder markup still fails the changed-file gate.; Note: The smaller gate still needs comment stripping before it is reliable.,Do not use as current state.,Ignore,E071,"Historical event marked outdated, canceled, or irrelevant."
Legacy accessibility cleanup,Outdated fact,Planned,Event ID: E072; Owner: Sukriti; Status: Planned; Requirement Change: Remediate Courses 1-3 without adding broad exemptions.; Note: A bounded accessibility cleanup is planned for the next release.,Do not use as current state.,Ignore,E072,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Active,Event ID: E073; Owner: Aryan Raj; Status: Active; Requirement Change: Course navigation is restored while path cards remain.; Note: The catalog regression is fixed and review resumes.,Do not use as current state.,Ignore,E073,"Historical event marked outdated, canceled, or irrelevant."
Guided learning paths,Outdated fact,Under Review,Event ID: E074; Owner: Aryan Raj; Status: Under Review; Note: The repaired guided-path implementation receives final review.,Do not use as current state.,Ignore,E074,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Active,"Event ID: E075; Owner: Aditya; Status: Active; Requirement Change: Strip HTML comments before link, image, title, and footer checks.; Note: The QA contract explicitly ignores inactive commented markup.",Do not use as current state.,Ignore,E075,"Historical event marked outdated, canceled, or irrelevant."
Static HTML QA gate,Outdated fact,Under Review,Event ID: E077; Owner: Ethan; Status: Under Review; Requirement Change: Regression tests pass for active and commented markup.; Note: Independent QA confirms comment stripping does not weaken active-markup checks.,Do not use as current state.,Ignore,E077,"Historical event marked outdated, canceled, or irrelevant."
Legacy accessibility cleanup,Outdated fact,Active,Event ID: E079; Owner: Sidhaanth; Status: Active; Requirement Change: Sidhaanth takes the bounded Courses 1-3 cleanup.; Note: Accessibility ownership moves from Sukriti to Sidhaanth.,Do not use as current state.,Ignore,E079,"Historical event marked outdated, canceled, or irrelevant."
Legacy accessibility cleanup,Outdated fact,Blocked,Event ID: E080; Owner: Sidhaanth; Status: Blocked; Blocker: Several repaired image paths break adjacent course links.; Note: The cleanup is blocked by path and navigation regressions.,Do not use as current state.,Ignore,E080,"Historical event marked outdated, canceled, or irrelevant."
Legacy accessibility cleanup,Outdated fact,Active,"Event ID: E083; Owner: Sidhaanth; Status: Active; Requirement Change: Broken course paths are repaired and targeted page tests pass.; Note: The path regression is resolved, but release testing is not finished.",Do not use as current state.,Ignore,E083,"Historical event marked outdated, canceled, or irrelevant."
Legacy accessibility cleanup,Outdated fact,Under Review,Event ID: E084; Owner: Ethan; Status: Under Review; Blocker: Keyboard-only coverage is incomplete.; Note: Final QA finds the new release requirement is not yet satisfied.,Do not use as current state.,Ignore,E084,"Historical event marked outdated, canceled, or irrelevant."
Legacy accessibility cleanup,Outdated fact,Delayed,"Event ID: E089; Owner: Sidhaanth; Status: Delayed; Blocker: Keyboard-only smoke coverage is incomplete.; Requirement Change: Move the bounded cleanup target from July 15 to July 18, 2026.; Note: The first revised accessibility-cleanup target is superseded by a later Day 30 target.",Do not use as current state.,Ignore,E089,"Historical event marked outdated, canceled, or irrelevant."
