Question ID,Approach,Question,Answer,Expected Answer,Automated Label,Manual Label,Published Correct,Manual Error Type,Supporting Event IDs,Conflicting Event IDs,Review Status,Review Reason,Independent Sign-off
Q17,Large context,"Which blocker was active earlier, resolved, and followed by a later related active blocker?","Legacy accessibility cleanup: broken course paths were resolved, then incomplete keyboard-only coverage became the related blocker.","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",Incomplete,Partially correct,No,Missed blocker transition,E017; E086,E008; E084,Adjudicated from saved answer,"It gives a real resolved-paths to keyboard-only transition, but substitutes that chain for the benchmark's browser-dependency transition.",Pending independent human confirmation
Q18,Large context,"Which canceled feature was partly revived under a new name, and is it in the current MVP?",Live Help offline fallback became Help Center prompt fallback; it is not in the current MVP.,"The Live Help offline fallback was partly revived as the Help Center prompt fallback, but it is not in the current MVP.",Correct,Correct,Yes,None,E087,E045,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q19,Large context,How should the two similarly named browser tasks be distinguished?,Browser smoke tests are Shaurya’s completed end-to-end suite; browser smoke test fixtures are Naysa’s separate active fixture-only task.,Browser smoke tests are the completed end-to-end suite; browser smoke test fixtures are a separate active fixture-only task.,Correct,Correct,Yes,None,E020; E088,E002; E017,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q20,Large context,What are the successive deadline changes for legacy accessibility cleanup and its current target?,July 15 → July 18 → July 19; July 19 is current.,"The target moved from July 15 to July 18, then to July 19, 2026.",Correct,Correct,Yes,None,E089; E090,E083; E086,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q21,Large context,Which requirement was removed from the MVP but retained in the future backlog?,The Live Help offline fallback requirement.,The Live Help offline fallback was removed from the MVP but retained in the future backlog.,Incomplete,Correct,Yes,Keyword-rubric false negative,E045,E005,Adjudicated from saved answer,It names the Live Help offline fallback. The removed-from-MVP and future-backlog relation is already stated in the question and the answer makes no contrary claim.,Pending independent human confirmation
Q22,Large context,What old browser-owner fact must be ignored in the current answer?,Ignore Ishaan’s initial ownership; Shaurya is current.,Ignore Ishaan's old browser smoke-test assignment and use Shaurya as the current owner.,Correct,Correct,Yes,None,E020,E002,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q23,Large context,Which events changed keyboard-only coverage from a release requirement into the current blocker?,E081 made keyboard coverage a release requirement; E084 found it incomplete; E085 delayed release; E086 confirmed it as the only active blocker.,"E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.",Correct,Correct,Yes,None,E081; E086,E083,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q24,Large context,Which terminal draft-recovery facts should be used and which old fact should be ignored?,"Use the visible recovered state, confirmed discard control, challenge-scoped persistence, and completed regression coverage; ignore the outdated silent-only restore with no controls.","Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.",Correct,Correct,Yes,None,E047; E050,E021,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q25,Large context,Which canceled features should not be included in the current MVP?,"The experimental recovery branch, standalone terminal demo mode, and Live Help offline fallback.","Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.",Incomplete,Partially correct,No,Canceled/obsolete scope,E035; E045; E059,E007; E005; E053,Adjudicated from saved answer,"It names two canceled features, omits the guided paths desktop mockup, and adds an unlisted experimental recovery branch.",Pending independent human confirmation
Q26,Large context,What current browser-testing decision replaces the earlier technical decision?,Playwright replaces Cypress.,Use Playwright and ignore the earlier Cypress decision.,Correct,Correct,Yes,None,E014,E003,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q27,Large context,Which older release deadline would be wrong if the AI relied only on early notes?,"July 13, 2026.","July 13 is outdated; the current MVP release target is July 17, 2026.",Incomplete,Correct,Yes,Keyword-rubric false negative,E085,E009,Adjudicated from saved answer,"The question asks which older deadline is wrong; July 13, 2026 is the complete answer.",Pending independent human confirmation
Q28,Large context,What current facts define guided learning paths after the ownership and navigation changes?,Aryan Raj owns the completed feature: a mobile-first path section with path cards while every existing course link remains available.,Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,Incomplete,Correct,Yes,Keyword-rubric false negative,E061; E076,E052; E070,Adjudicated from saved answer,"The answer semantically covers Aryan's ownership, the mobile-first paths, and preserved course links.",Pending independent human confirmation
Q29,Large context,Which temporary or expired project information should be ignored?,"Ignore the one-day draft demo checklist, expired sprint-review meeting, temporary progress fixtures, and rejected desktop-only guided-path mockup.",The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.,Correct,Correct,Yes,None,E006; E030,E006; E030,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q30,Large context,What facts define current release risk at the end of Day 30?,"Keyboard-only smoke coverage is incomplete and is the only active blocker, delaying the MVP to July 17 and the bounded Courses 1–3 cleanup to July 19.","The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.",Incomplete,Correct,Yes,Keyword-rubric false negative,E085; E086; E090,E009; E083; E089,Adjudicated from saved answer,"It states incomplete keyboard-only coverage, the July 17 MVP target, and the July 19 bounded cleanup target.",Pending independent human confirmation
Q01,Traditional TF-IDF RAG,Who currently owns the browser smoke tests?,Shaurya; Naysa owns only the separate fixture-only task.,Shaurya,Correct,Correct,Yes,None,E020,E002,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q02,Traditional TF-IDF RAG,Which project tasks are delayed at the end of Day 30?,Legacy accessibility cleanup and the MVP release.,The MVP release and legacy accessibility cleanup.,Correct,Correct,Yes,None,E085; E090,E060,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q03,Traditional TF-IDF RAG,What is the only active blocker at the end of Day 30?,Incomplete keyboard-only smoke coverage.,Keyboard-only smoke coverage is incomplete.,Correct,Correct,Yes,None,E086,E008; E036; E070,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q04,Traditional TF-IDF RAG,What is the current MVP release target?,"July 17, 2026.",July 17 2026.,Correct,Correct,Yes,None,E085,E009,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q05,Traditional TF-IDF RAG,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,Standalone terminal demo mode.,Correct,Correct,Yes,None,E035,E007,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q06,Traditional TF-IDF RAG,Is the Live Help offline fallback still part of the current MVP?,No. It was removed from the MVP; the renamed Help Center prompt fallback is future backlog.,No. It was canceled and removed from the current MVP.,Correct,Correct,Yes,None,E045,E005,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q07,Traditional TF-IDF RAG,Which browser testing framework is the current technical decision?,"Playwright, replacing Cypress.",Playwright.,Correct,Correct,Yes,None,E014,E003,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q08,Traditional TF-IDF RAG,Which cloud platform is the current primary terminal deployment target?,An Azure VM.,Azure VM.,Correct,Correct,Yes,None,E034,E025,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q09,Traditional TF-IDF RAG,What is the current terminal draft recovery requirement?,Challenge-scoped draft persistence with a visible recovered state and confirmed discard control; the work is complete.,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.",Correct,Correct,Yes,None,E047; E050,E021,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q10,Traditional TF-IDF RAG,Who owns guided learning paths and what is their current status?,Aryan Raj; completed.,"Aryan Raj owns the task, and it is completed.",Correct,Correct,Yes,None,E076,E052; E060,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q11,Traditional TF-IDF RAG,What is the current status of the static HTML QA gate?,Completed.,Completed.,Correct,Correct,Yes,None,E078,E062; E069,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q12,Traditional TF-IDF RAG,What rules define the current static HTML QA gate?,"It runs on changed HTML only, uses a small explicit allowlist, and checks links, alt text, titles, and footer regressions with regression coverage.","It checks changed files, ignores HTML comments, and uses a small explicit allowlist.",Incomplete,Partially correct,No,Missed QA rule detail,E078,E062; E064,Adjudicated from saved answer,"It correctly describes changed-file checks and the allowlist, but omits the rule to ignore HTML comments.",Pending independent human confirmation
Q13,Traditional TF-IDF RAG,Who owns local learner progress and is it complete?,"Aarohi; yes, it is completed.","Aarohi owns it, and it is completed.",Correct,Correct,Yes,None,E031,E012,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q14,Traditional TF-IDF RAG,Is root deployment routing still blocking the project?,No. Root deployment routing was fixed and covered by smoke tests.,No. The routing issue was resolved and completed with smoke-test coverage.,Incomplete,Correct,Yes,Keyword-rubric false negative,E038,E033,Adjudicated from saved answer,It correctly says root deployment routing was fixed and covered by smoke tests.,Pending independent human confirmation
Q15,Traditional TF-IDF RAG,Which README approach should be ignored as outdated?,"The long, badge-heavy, presentation-focused approach with multiple screenshots and a detailed contributor guide.","The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.",Correct,Correct,Yes,None,E067,E058,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q16,Traditional TF-IDF RAG,Which tasks changed owners more than once by Day 30?,MVP release: Team → Shaurya → Team.,Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,Incorrect,Incorrect,No,Multi-owner history,E055; E090,E012; E072,Adjudicated from saved answer,It names an MVP owner sequence instead of the two tasks with repeated owner changes.,Pending independent human confirmation
Q17,Traditional TF-IDF RAG,"Which blocker was active earlier, resolved, and followed by a later related active blocker?","The legacy accessibility cleanup’s broken-course-path blocker was resolved, followed by the active incomplete keyboard-only coverage blocker.","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",Incomplete,Partially correct,No,Missed blocker transition,E017; E086,E008; E084,Adjudicated from saved answer,It identifies the later keyboard-only blocker but substitutes the legacy-path blocker for the requested browser-dependency transition.,Pending independent human confirmation
Q18,Traditional TF-IDF RAG,"Which canceled feature was partly revived under a new name, and is it in the current MVP?","Live Help offline fallback, revived as Help Center prompt fallback; no, it remains future backlog.","The Live Help offline fallback was partly revived as the Help Center prompt fallback, but it is not in the current MVP.",Correct,Correct,Yes,None,E087,E045,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q19,Traditional TF-IDF RAG,How should the two similarly named browser tasks be distinguished?,Browser smoke tests are the completed end-to-end suite owned by Shaurya; browser smoke test fixtures are a separate active fixture-only task owned by Naysa.,Browser smoke tests are the completed end-to-end suite; browser smoke test fixtures are a separate active fixture-only task.,Correct,Correct,Yes,None,E020; E088,E002; E017,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q20,Traditional TF-IDF RAG,What are the successive deadline changes for legacy accessibility cleanup and its current target?,"July 15 → July 18 → July 19, 2026; the current target is July 19, 2026.","The target moved from July 15 to July 18, then to July 19, 2026.",Correct,Correct,Yes,None,E089; E090,E083; E086,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q21,Traditional TF-IDF RAG,Which requirement was removed from the MVP but retained in the future backlog?,"The Live Help offline fallback, partly revived as the future-backlog Help Center prompt fallback.",The Live Help offline fallback was removed from the MVP but retained in the future backlog.,Incomplete,Correct,Yes,Keyword-rubric false negative,E045,E005,Adjudicated from saved answer,It identifies the Live Help fallback and its future-backlog status; the additional revival detail does not contradict the answer.,Pending independent human confirmation
Q22,Traditional TF-IDF RAG,What old browser-owner fact must be ignored in the current answer?,The old Ishaan ownership fact; the completed smoke suite is owned by Shaurya.,Ignore Ishaan's old browser smoke-test assignment and use Shaurya as the current owner.,Correct,Correct,Yes,None,E020,E002,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q23,Traditional TF-IDF RAG,Which events changed keyboard-only coverage from a release requirement into the current blocker?,E081 made keyboard-only coverage a release requirement; E084 found it incomplete; E086 identified it as the only active blocker.,"E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.",Correct,Correct,Yes,None,E081; E086,E083,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q24,Traditional TF-IDF RAG,Which terminal draft-recovery facts should be used and which old fact should be ignored?,"Use the completed draft-persistence, recovery-control, and regression-test facts. Ignore the outdated silent automatic-restore requirement with no controls.","Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.",Incomplete,Partially correct,No,Missed recovery requirement detail,E047; E050,E021,Adjudicated from saved answer,"It rejects silent restore and mentions recovery controls, but omits the visible recovered state, confirmed discard, and challenge-scoped storage details.",Pending independent human confirmation
Q25,Traditional TF-IDF RAG,Which canceled features should not be included in the current MVP?,"The guided paths desktop mockup, Live Help offline fallback, and experimental recovery branch.","Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.",Incomplete,Partially correct,No,Canceled/obsolete scope,E035; E045; E059,E007; E005; E053,Adjudicated from saved answer,"It names two canceled features, omits standalone terminal demo mode, and adds the experimental recovery branch.",Pending independent human confirmation
Q26,Traditional TF-IDF RAG,What current browser-testing decision replaces the earlier technical decision?,Playwright replaces Cypress by reusing the already-installed browser-testing stack.,Use Playwright and ignore the earlier Cypress decision.,Correct,Correct,Yes,None,E014,E003,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q27,Traditional TF-IDF RAG,Which older release deadline would be wrong if the AI relied only on early notes?,"July 13, 2026; the current target is July 17, 2026.","July 13 is outdated; the current MVP release target is July 17, 2026.",Correct,Correct,Yes,None,E085,E009,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q28,Traditional TF-IDF RAG,What current facts define guided learning paths after the ownership and navigation changes?,"Aryan Raj owns the completed guided learning paths, with manual navigation and existing course links preserved.",Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,Incomplete,Correct,Yes,Keyword-rubric false negative,E061; E076,E052; E070,Adjudicated from saved answer,"It semantically covers Aryan's ownership, manual navigation, and preserved course links.",Pending independent human confirmation
Q29,Traditional TF-IDF RAG,Which temporary or expired project information should be ignored?,"The expired sprint review meeting, one-day draft demo checklist, synthetic progress fixtures, and guided paths desktop mockup.",The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.,Incomplete,Partially correct,No,Irrelevant-information overinclusion,E006; E030,E006; E030,Adjudicated from saved answer,"It includes the two keyed temporary items, but adds unrelated canceled or fixture information and is not precise about the requested pair.",Pending independent human confirmation
Q30,Traditional TF-IDF RAG,What facts define current release risk at the end of Day 30?,"Keyboard-only coverage is incomplete despite being a release requirement, delaying the MVP to July 17; it is the only active blocker, and bounded accessibility cleanup is targeted for July 19.","The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.",Correct,Correct,Yes,None,E085; E086; E090,E009; E083; E089,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q01,Selective memory,Who currently owns the browser smoke tests?,Shaurya.,Shaurya,Correct,Correct,Yes,None,E020,E002,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q02,Selective memory,Which project tasks are delayed at the end of Day 30?,Legacy accessibility cleanup and the MVP release.,The MVP release and legacy accessibility cleanup.,Correct,Correct,Yes,None,E085; E090,E060,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q03,Selective memory,What is the only active blocker at the end of Day 30?,Incomplete keyboard-only smoke coverage for core catalog and terminal controls.,Keyboard-only smoke coverage is incomplete.,Correct,Correct,Yes,None,E086,E008; E036; E070,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q04,Selective memory,What is the current MVP release target?,"July 17, 2026.",July 17 2026.,Correct,Correct,Yes,None,E085,E009,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q05,Selective memory,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,Standalone terminal demo mode.,Correct,Correct,Yes,None,E035,E007,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q06,Selective memory,Is the Live Help offline fallback still part of the current MVP?,No. It was removed from the MVP; related fallback work is future backlog only.,No. It was canceled and removed from the current MVP.,Correct,Correct,Yes,None,E045,E005,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q07,Selective memory,Which browser testing framework is the current technical decision?,Playwright.,Playwright.,Correct,Correct,Yes,None,E014,E003,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q08,Selective memory,Which cloud platform is the current primary terminal deployment target?,"Azure, using an Azure VM.",Azure VM.,Correct,Correct,Yes,None,E034,E025,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q09,Selective memory,What is the current terminal draft recovery requirement?,"Show recovered state and a confirmed discard control, using challenge-scoped storage.","Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.",Correct,Correct,Yes,None,E047; E050,E021,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q10,Selective memory,Who owns guided learning paths and what is their current status?,Aryan Raj; completed.,"Aryan Raj owns the task, and it is completed.",Correct,Correct,Yes,None,E076,E052; E060,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q11,Selective memory,What is the current status of the static HTML QA gate?,Completed.,Completed.,Correct,Correct,Yes,None,E078,E062; E069,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q12,Selective memory,What rules define the current static HTML QA gate?,"Run checks only on changed HTML; check links, alt text, titles, and footer regressions; ignore HTML comments and use a small explicit allowlist.","It checks changed files, ignores HTML comments, and uses a small explicit allowlist.",Correct,Correct,Yes,None,E078,E062; E064,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q13,Selective memory,Who owns local learner progress and is it complete?,"Aarohi; yes, completed.","Aarohi owns it, and it is completed.",Correct,Correct,Yes,None,E031,E012,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q14,Selective memory,Is root deployment routing still blocking the project?,No. Root deployment routing is resolved with a resolver supporting root and subpath hosting.,No. The routing issue was resolved and completed with smoke-test coverage.,Correct,Correct,Yes,None,E038,E033,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q15,Selective memory,Which README approach should be ignored as outdated?,"The large presentation-heavy README with badges, multiple screenshots, and a detailed contributor guide.","The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.",Correct,Correct,Yes,None,E067,E058,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q16,Selective memory,Which tasks changed owners more than once by Day 30?,"Terminal draft recovery, Static HTML QA gate, and Legacy accessibility cleanup.",Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,Correct,Correct,Yes,None,E055; E090,E012; E072,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q17,Selective memory,"Which blocker was active earlier, resolved, and followed by a later related active blocker?",The browser-dependency installation blocker was resolved by reusing the pinned Playwright stack; it was followed by incomplete keyboard-only smoke coverage.,"Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",Incomplete,Correct,Yes,Keyword-rubric false negative,E017; E086,E008; E084,Adjudicated from saved answer,The hyphenated wording still states the browser-installation resolution followed by incomplete keyboard-only coverage.,Pending independent human confirmation
Q18,Selective memory,"Which canceled feature was partly revived under a new name, and is it in the current MVP?","The canceled Live Help offline fallback, revived as Help Center prompt fallback; it is not in the current MVP.","The Live Help offline fallback was partly revived as the Help Center prompt fallback, but it is not in the current MVP.",Correct,Correct,Yes,None,E087,E045,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q19,Selective memory,How should the two similarly named browser tasks be distinguished?,"Completed browser smoke tests are end-to-end coverage using a local static server and synthetic data; the active browser smoke test fixtures task is fixture-only and separate, owned by Naysa.",Browser smoke tests are the completed end-to-end suite; browser smoke test fixtures are a separate active fixture-only task.,Correct,Correct,Yes,None,E020; E088,E002; E017,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q20,Selective memory,What are the successive deadline changes for legacy accessibility cleanup and its current target?,July 15 → July 18 (E089) → July 19 current target (E090).,"The target moved from July 15 to July 18, then to July 19, 2026.",Correct,Correct,Yes,None,E089; E090,E083; E086,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q21,Selective memory,Which requirement was removed from the MVP but retained in the future backlog?,"The Live Help failure fallback with privacy notices, suggested prompts, and useful content; it remains future backlog.",The Live Help offline fallback was removed from the MVP but retained in the future backlog.,Incomplete,Correct,Yes,Keyword-rubric false negative,E045,E005,Adjudicated from saved answer,It identifies the Live Help fallback and future-backlog disposition; its expanded description is consistent with the source event.,Pending independent human confirmation
Q22,Selective memory,What old browser-owner fact must be ignored in the current answer?,Ishaan’s original browser-smoke-test ownership (E002) must be ignored; the current owner is Shaurya.,Ignore Ishaan's old browser smoke-test assignment and use Shaurya as the current owner.,Correct,Correct,Yes,None,E020,E002,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q23,Selective memory,Which events changed keyboard-only coverage from a release requirement into the current blocker?,"E084 identified incomplete keyboard-only coverage, E085 delayed the release, and E089/E090 carried that issue into the current blocker and revised target.","E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.",Incorrect,Incorrect,No,Event provenance,E081; E086,E083,Adjudicated from saved answer,"The question asks for E081 and E086, but the answer cites E084, E085, E089, and E090 instead.",Pending independent human confirmation
Q24,Selective memory,Which terminal draft-recovery facts should be used and which old fact should be ignored?,"Use visible recovery, confirmed discard, and challenge-scoped storage; ignore the old silent-only automatic-restore/no-controls fact (E021).","Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.",Incomplete,Correct,Yes,Keyword-rubric false negative,E047; E050,E021,Adjudicated from saved answer,"It includes visible recovery, confirmed discard, challenge-scoped storage, and the old silent-only fact to ignore.",Pending independent human confirmation
Q25,Selective memory,Which canceled features should not be included in the current MVP?,"Live Help offline fallback, standalone terminal demo mode, and the rejected desktop-only guided-path mockup.","Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.",Correct,Correct,Yes,None,E035; E045; E059,E007; E005; E053,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q26,Selective memory,What current browser-testing decision replaces the earlier technical decision?,Playwright replaces Cypress.,Use Playwright and ignore the earlier Cypress decision.,Correct,Correct,Yes,None,E014,E003,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q27,Selective memory,Which older release deadline would be wrong if the AI relied only on early notes?,"July 13, 2026 (E009); the current target is July 17.","July 13 is outdated; the current MVP release target is July 17, 2026.",Correct,Correct,Yes,None,E085,E009,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q28,Selective memory,What current facts define guided learning paths after the ownership and navigation changes?,"Aryan Raj owns completed mobile-first guided paths, which preserve path cards and all manual course links/catalog browsing.",Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,Correct,Correct,Yes,None,E061; E076,E052; E070,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q29,Selective memory,Which temporary or expired project information should be ignored?,"Ignore the one-day Day 10 draft demo checklist, expired Day 10 sprint-review details, temporary progress-test fixtures, and the abandoned recovery experiment/branch; the closed duplicate analytics issue is also irrelevant.",The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.,Correct,Correct,Yes,None,E006; E030,E006; E030,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
