Question ID,Question,Correct Answer,Selective-Memory Answer,Selective-Memory Answer Correct,Correct/Incorrect,Error Type,Notes
Q14,Is root deployment routing still blocking the project?,No. The routing issue was resolved and completed with smoke-test coverage.,No. Root deployment routing is resolved with a resolver supporting root and subpath hosting.,Yes,Correct,Correct,Matched the answer key.
Q15,Which README approach should be ignored as outdated?,"The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.","The large presentation-heavy README with badges, multiple screenshots, and a detailed contributor guide.",Yes,Correct,Correct,Matched the answer key.
Q16,Which tasks changed owners more than once by Day 30?,Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,"Terminal draft recovery, Static HTML QA gate, and Legacy accessibility cleanup.",Yes,Correct,Correct,Matched the answer key.
Q17,"Which blocker was active earlier, resolved, and followed by a later related active blocker?","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",The browser-dependency installation blocker was resolved by reusing the pinned Playwright stack; it was followed by incomplete keyboard-only smoke coverage.,No,Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q18,"Which canceled feature was partly revived under a new name, and is it in the current MVP?","The Live Help offline fallback was partly revived as the Help Center prompt fallback, but it is not in the current MVP.","The canceled Live Help offline fallback, revived as Help Center prompt fallback; it is not in the current MVP.",Yes,Correct,Correct,Matched the answer key.
Q19,How should the two similarly named browser tasks be distinguished?,Browser smoke tests are the completed end-to-end suite; browser smoke test fixtures are a separate active fixture-only task.,"Completed browser smoke tests are end-to-end coverage using a local static server and synthetic data; the active browser smoke test fixtures task is fixture-only and separate, owned by Naysa.",Yes,Correct,Correct,Matched the answer key.
Q20,What are the successive deadline changes for legacy accessibility cleanup and its current target?,"The target moved from July 15 to July 18, then to July 19, 2026.",July 15 → July 18 (E089) → July 19 current target (E090).,Yes,Correct,Correct,Matched the answer key.
Q21,Which requirement was removed from the MVP but retained in the future backlog?,The Live Help offline fallback was removed from the MVP but retained in the future backlog.,"The Live Help failure fallback with privacy notices, suggested prompts, and useful content; it remains future backlog.",No,Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q22,What old browser-owner fact must be ignored in the current answer?,Ignore Ishaan's old browser smoke-test assignment and use Shaurya as the current owner.,Ishaan’s original browser-smoke-test ownership (E002) must be ignored; the current owner is Shaurya.,Yes,Correct,Correct,Matched the answer key.
Q23,Which events changed keyboard-only coverage from a release requirement into the current blocker?,"E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.","E084 identified incomplete keyboard-only coverage, E085 delayed the release, and E089/E090 carried that issue into the current blocker and revised target.",No,Incorrect,Incorrect,Automated keyword rubric flagged: Incorrect.
Q24,Which terminal draft-recovery facts should be used and which old fact should be ignored?,"Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.","Use visible recovery, confirmed discard, and challenge-scoped storage; ignore the old silent-only automatic-restore/no-controls fact (E021).",No,Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q25,Which canceled features should not be included in the current MVP?,"Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.","Live Help offline fallback, standalone terminal demo mode, and the rejected desktop-only guided-path mockup.",Yes,Correct,Correct,Matched the answer key.
Q26,What current browser-testing decision replaces the earlier technical decision?,Use Playwright and ignore the earlier Cypress decision.,Playwright replaces Cypress.,Yes,Correct,Correct,Matched the answer key.
Q27,Which older release deadline would be wrong if the AI relied only on early notes?,"July 13 is outdated; the current MVP release target is July 17, 2026.","July 13, 2026 (E009); the current target is July 17.",Yes,Correct,Correct,Matched the answer key.
Q28,What current facts define guided learning paths after the ownership and navigation changes?,Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,"Aryan Raj owns completed mobile-first guided paths, which preserve path cards and all manual course links/catalog browsing.",Yes,Correct,Correct,Matched the answer key.
Q29,Which temporary or expired project information should be ignored?,The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.,"Ignore the one-day Day 10 draft demo checklist, expired Day 10 sprint-review details, temporary progress-test fixtures, and the abandoned recovery experiment/branch; the closed duplicate analytics issue is also irrelevant.",Yes,Correct,Correct,Matched the answer key.
Q30,What facts define current release risk at the end of Day 30?,"The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.",Incomplete keyboard-only smoke coverage is delaying the July 17 release and July 19 accessibility target; the other listed blockers are resolved.,No,Incorrect,Outdated information error,Automated keyword rubric flagged: Outdated information error.
