Question ID,Approach,Automated Label,Manual Label,Manual Error Type,Answer,Expected Answer,Supporting Event IDs,Conflicting Event IDs,Review Reason,Review Status,Independent Sign-off
Q17,Traditional TF-IDF RAG,Incomplete,Partially correct,Missed blocker transition,"The legacy accessibility cleanup’s broken-course-path blocker was resolved, followed by the active incomplete keyboard-only coverage blocker.","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",E017; E086,E008; E084,It identifies the later keyboard-only blocker but substitutes the legacy-path blocker for the requested browser-dependency transition.,Adjudicated from saved answer,Pending independent human confirmation
Q21,Traditional TF-IDF RAG,Incomplete,Correct,Keyword-rubric false negative,"The Live Help offline fallback, partly revived as the future-backlog Help Center prompt fallback.",The Live Help offline fallback was removed from the MVP but retained in the future backlog.,E045,E005,It identifies the Live Help fallback and its future-backlog status; the additional revival detail does not contradict the answer.,Adjudicated from saved answer,Pending independent human confirmation
Q24,Traditional TF-IDF RAG,Incomplete,Partially correct,Missed recovery requirement detail,"Use the completed draft-persistence, recovery-control, and regression-test facts. Ignore the outdated silent automatic-restore requirement with no controls.","Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.",E047; E050,E021,"It rejects silent restore and mentions recovery controls, but omits the visible recovered state, confirmed discard, and challenge-scoped storage details.",Adjudicated from saved answer,Pending independent human confirmation
Q25,Traditional TF-IDF RAG,Incomplete,Partially correct,Canceled/obsolete scope,"The guided paths desktop mockup, Live Help offline fallback, and experimental recovery branch.","Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.",E035; E045; E059,E007; E005; E053,"It names two canceled features, omits standalone terminal demo mode, and adds the experimental recovery branch.",Adjudicated from saved answer,Pending independent human confirmation
Q28,Traditional TF-IDF RAG,Incomplete,Correct,Keyword-rubric false negative,"Aryan Raj owns the completed guided learning paths, with manual navigation and existing course links preserved.",Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,E061; E076,E052; E070,"It semantically covers Aryan's ownership, manual navigation, and preserved course links.",Adjudicated from saved answer,Pending independent human confirmation
Q29,Traditional TF-IDF RAG,Incomplete,Partially correct,Irrelevant-information overinclusion,"The expired sprint review meeting, one-day draft demo checklist, synthetic progress fixtures, and guided paths desktop mockup.",The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.,E006; E030,E006; E030,"It includes the two keyed temporary items, but adds unrelated canceled or fixture information and is not precise about the requested pair.",Adjudicated from saved answer,Pending independent human confirmation
Q17,Selective memory,Incomplete,Correct,Keyword-rubric false negative,The browser-dependency installation blocker was resolved by reusing the pinned Playwright stack; it was followed by incomplete keyboard-only smoke coverage.,"Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",E017; E086,E008; E084,The hyphenated wording still states the browser-installation resolution followed by incomplete keyboard-only coverage.,Adjudicated from saved answer,Pending independent human confirmation
Q21,Selective memory,Incomplete,Correct,Keyword-rubric false negative,"The Live Help failure fallback with privacy notices, suggested prompts, and useful content; it remains future backlog.",The Live Help offline fallback was removed from the MVP but retained in the future backlog.,E045,E005,It identifies the Live Help fallback and future-backlog disposition; its expanded description is consistent with the source event.,Adjudicated from saved answer,Pending independent human confirmation
Q23,Selective memory,Incorrect,Incorrect,Event provenance,"E084 identified incomplete keyboard-only coverage, E085 delayed the release, and E089/E090 carried that issue into the current blocker and revised target.","E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.",E081; E086,E083,"The question asks for E081 and E086, but the answer cites E084, E085, E089, and E090 instead.",Adjudicated from saved answer,Pending independent human confirmation
Q24,Selective memory,Incomplete,Correct,Keyword-rubric false negative,"Use visible recovery, confirmed discard, and challenge-scoped storage; ignore the old silent-only automatic-restore/no-controls fact (E021).","Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.",E047; E050,E021,"It includes visible recovery, confirmed discard, challenge-scoped storage, and the old silent-only fact to ignore.",Adjudicated from saved answer,Pending independent human confirmation
Q30,Selective memory,Incorrect,Correct,Keyword-rubric false negative,Incomplete keyboard-only smoke coverage is delaying the July 17 release and July 19 accessibility target; the other listed blockers are resolved.,"The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.",E085; E086; E090,E009; E083; E089,It states the incomplete keyboard-only coverage and both current delayed targets; the resolved-blocker wording is not an outdated deadline claim.,Adjudicated from saved answer,Pending independent human confirmation
